,0,1,2,3,4,5,6,7,8,9
Ulee's Gold (1997),Ulee's Gold (1997),Quiz Show (1994),"Winslow Boy, The (1998)",Short Cuts (1993),Michael Collins (1996),"Fisher King, The (1991)",Trainspotting (1996),Big Night (1996),"Truman Show, The (1998)",Philadelphia (1993)
My Best Friend's Wedding (1997),My Best Friend's Wedding (1997),Pretty Woman (1990),You've Got Mail (1998),While You Were Sleeping (1995),"Wedding Singer, The (1998)",Sleepless in Seattle (1993),Notting Hill (1999),Ghost (1990),"American President, The (1995)",Jerry Maguire (1996)
Sleepless in Seattle (1993),Sleepless in Seattle (1993),You've Got Mail (1998),Pretty Woman (1990),Ghost (1990),My Best Friend's Wedding (1997),Mrs. Doubtfire (1993),True Lies (1994),Home Alone (1990),Sister Act (1992),"Mask of Zorro, The (1998)"
Prizzi's Honor (1985),Prizzi's Honor (1985),"Big Chill, The (1983)",Terms of Endearment (1983),Broadcast News (1987),"Purple Rose of Cairo, The (1985)",Year of Living Dangerously (1982),Radio Days (1987),"Verdict, The (1982)",Blazing Saddles (1974),Raging Bull (1980)
Wayne's World 2 (1993),Wayne's World 2 (1993),Tommy Boy (1995),So I Married an Axe Murderer (1993),Dumb & Dumber (1994),Robin Hood: Men in Tights (1993),Cabin Boy (1994),Happy Gilmore (1996),Wayne's World (1992),Encino Man (1992),Ace Ventura: Pet Detective (1994)
Contact (1997),Contact (1997),"Matrix, The (1999)",Men in Black (1997),Total Recall (1990),Sneakers (1992),"Fifth Element, The (1997)",Jurassic Park (1993),Close Encounters of the Third Kind (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983)
"Blues Brothers, The (1980)","Blues Brothers, The (1980)",Die Hard (1988),Romancing the Stone (1984),Lethal Weapon (1987),Batman (1989),Stripes (1981),Lethal Weapon 2 (1989),Ferris Bueller's Day Off (1986),Raising Arizona (1987),Caddyshack (1980)
"Godfather: Part II, The (1974)","Godfather: Part II, The (1974)","Godfather, The (1972)",GoodFellas (1990),Full Metal Jacket (1987),Alien (1979),Saving Private Ryan (1998),Apocalypse Now (1979),Rocky (1976),"French Connection, The (1971)","Blues Brothers, The (1980)"
Amadeus (1984),Amadeus (1984),Gandhi (1982),"Godfather: Part II, The (1974)",Raising Arizona (1987),"Right Stuff, The (1983)",Chariots of Fire (1981),Witness (1985),Apocalypse Now (1979),Raging Bull (1980),"Blues Brothers, The (1980)"
Starman (1984),Starman (1984),Cocoon (1985),Superman (1978),Star Trek IV: The Voyage Home (1986),Star Trek III: The Search for Spock (1984),Mad Max Beyond Thunderdome (1985),Close Encounters of the Third Kind (1977),Back to the Future (1985),Mad Max (1979),Romancing the Stone (1984)
Strictly Ballroom (1992),Strictly Ballroom (1992),Cinema Paradiso (1988),When Harry Met Sally... (1989),Clueless (1995),Groundhog Day (1993),Raising Arizona (1987),Muriel's Wedding (1994),Sense and Sensibility (1995),Four Weddings and a Funeral (1994),Farewell My Concubine (1993)
"Odd Couple, The (1968)","Odd Couple, The (1968)",Guess Who's Coming to Dinner (1967),Mister Roberts (1955),"Last Detail, The (1973)","Producers, The (1968)",Harvey (1950),"Taming of the Shrew, The (1967)","Goodbye Girl, The (1977)",Sleeper (1973),Trading Places (1983)
American Graffiti (1973),American Graffiti (1973),Little Big Man (1970),"Godfather: Part II, The (1974)",Blazing Saddles (1974),Young Frankenstein (1974),"Godfather, The (1972)",Being There (1979),"French Connection, The (1971)",Network (1976),"Sting, The (1973)"
Ghost (1990),Ghost (1990),Pretty Woman (1990),Speed (1994),Sleepless in Seattle (1993),Forrest Gump (1994),My Best Friend's Wedding (1997),Jerry Maguire (1996),"American President, The (1995)",Notting Hill (1999),"Mask of Zorro, The (1998)"
"Lady Vanishes, The (1938)","Lady Vanishes, The (1938)","Man Who Knew Too Much, The (1934)","39 Steps, The (1935)",My Man Godfrey (1936),It Happened One Night (1934),Suspicion (1941),Bringing Up Baby (1938),"Lodger, The (1926)",Notorious (1946),Spellbound (1945)
Doctor Dolittle (1967),Doctor Dolittle (1967),Swiss Family Robinson (1960),"Jungle Book, The (1967)",Newsies (1992),Popeye (1980),Oliver! (1968),"Doors, The (1991)","King and I, The (1956)",Cinderella (1950),Lady and the Tramp (1955)
Meet the Parents (2000),Meet the Parents (2000),Almost Famous (2000),High Fidelity (2000),Keeping the Faith (2000),Gladiator (2000),Nurse Betty (2000),"Cell, The (2000)","Perfect Storm, The (2000)",Erin Brockovich (2000),There's Something About Mary (1998)
"Purple Rose of Cairo, The (1985)","Purple Rose of Cairo, The (1985)",Radio Days (1987),Broadcast News (1987),Prizzi's Honor (1985),Ordinary People (1980),"Big Chill, The (1983)",Raging Bull (1980),"Sex, Lies, and Videotape (1989)",Roger & Me (1989),Annie Hall (1977)
Battling Butler (1926),Battling Butler (1926),Faces (1968),Go West (1925),Seven Chances (1925),Force of Evil (1948),Pather Panchali (1955),Artemisia (1997),Angel Baby (1995),"Band Wagon, The (1953)",Monsieur Verdoux (1947)
Cool Hand Luke (1967),Cool Hand Luke (1967),Butch Cassidy and the Sundance Kid (1969),Some Like It Hot (1959),Monty Python and the Holy Grail (1974),"French Connection, The (1971)","Godfather, The (1972)","Godfather: Part II, The (1974)",Raising Arizona (1987),Taxi Driver (1976),Young Frankenstein (1974)
Grumpy Old Men (1993),Grumpy Old Men (1993),Grumpier Old Men (1995),Sister Act (1992),Mrs. Doubtfire (1993),Dumb & Dumber (1994),Pretty Woman (1990),Home Alone (1990),Tommy Boy (1995),Liar Liar (1997),Ace Ventura: Pet Detective (1994)
Arthur (1981),Arthur (1981),Mr. Mom (1983),Private Benjamin (1980),Peggy Sue Got Married (1986),Weird Science (1985),Risky Business (1983),Bachelor Party (1984),Back to School (1986),Blind Date (1987),Porky's (1981)
Guess Who's Coming to Dinner (1967),Guess Who's Coming to Dinner (1967),"Odd Couple, The (1968)",Miracle on 34th Street (1947),Mister Roberts (1955),"Goodbye Girl, The (1977)",In the Heat of the Night (1967),Breakfast at Tiffany's (1961),Harvey (1950),Some Like It Hot (1959),Ben-Hur (1959)
Bachelor Party (1984),Bachelor Party (1984),Blind Date (1987),Arthur (1981),Mr. Mom (1983),Weird Science (1985),Nothing in Common (1986),Back to School (1986),Porky's (1981),Back to the Future Part II (1989),Fletch Lives (1989)
"General, The (1927)","General, The (1927)","Palm Beach Story, The (1942)",City Lights (1931),My Man Godfrey (1936),"Gold Rush, The (1925)",Sullivan's Travels (1942),"Lady Eve, The (1941)",Modern Times (1936),His Girl Friday (1940),To Be or Not to Be (1942)
"Taming of the Shrew, The (1967)","Taming of the Shrew, The (1967)","Odd Couple, The (1968)",My Man Godfrey (1957),Voyage to the Bottom of the Sea (1961),Blackbeard's Ghost (1968),Return of the Fly (1959),Tarzan the Fearless (1933),Bikini Beach (1964),"Little Shop of Horrors, The (1960)","Quiet Man, The (1952)"
"Great Dictator, The (1940)","Great Dictator, The (1940)",Modern Times (1936),"Gold Rush, The (1925)",His Girl Friday (1940),To Be or Not to Be (1942),It Happened One Night (1934),Sullivan's Travels (1942),Monsieur Verdoux (1947),My Man Godfrey (1936),"Band Wagon, The (1953)"
Modern Times (1936),Modern Times (1936),City Lights (1931),"Great Dictator, The (1940)","Gold Rush, The (1925)",Some Like It Hot (1959),Sullivan's Travels (1942),"General, The (1927)",Strangers on a Train (1951),To Be or Not to Be (1942),M (1931)
Going My Way (1944),Going My Way (1944),Dark Command (1940),Cimarron (1931),Zeus and Roxanne (1997),In Old California (1942),I'll Be Home For Christmas (1998),Saludos Amigos (1943),Holiday Inn (1942),Airport (1970),Anchors Aweigh (1945)
"Producers, The (1968)","Producers, The (1968)",Some Like It Hot (1959),Young Frankenstein (1974),Annie Hall (1977),Harvey (1950),My Favorite Year (1982),"Odd Couple, The (1968)",Duck Soup (1933),Sleeper (1973),Bringing Up Baby (1938)
My Cousin Vinny (1992),My Cousin Vinny (1992),White Men Can't Jump (1992),Wayne's World (1992),There's Something About Mary (1998),Lethal Weapon 2 (1989),Lethal Weapon (1987),As Good As It Gets (1997),Wag the Dog (1997),"Wedding Singer, The (1998)",Liar Liar (1997)
Little Big Man (1970),Little Big Man (1970),American Graffiti (1973),Mister Roberts (1955),Butch Cassidy and the Sundance Kid (1969),Being There (1979),Network (1976),"French Connection, The (1971)",Blazing Saddles (1974),"Searchers, The (1956)","Great Escape, The (1963)"
Funny Face (1957),Funny Face (1957),Gigi (1958),"King and I, The (1956)",Gypsy (1962),Sabrina (1954),Stage Fright (1950),My Fair Lady (1964),Crimes of the Heart (1986),Rope (1948),"Pajama Game, The (1957)"
It Happened One Night (1934),It Happened One Night (1934),Bringing Up Baby (1938),His Girl Friday (1940),My Man Godfrey (1936),Some Like It Hot (1959),"Philadelphia Story, The (1940)","Lady Eve, The (1941)",My Favorite Year (1982),"Great Dictator, The (1940)","Lady Vanishes, The (1938)"
Real Genius (1985),Real Genius (1985),Scrooged (1988),Weird Science (1985),Fletch (1985),Trading Places (1983),Three Amigos! (1986),Stripes (1981),Back to the Future Part II (1989),Gung Ho (1986),Gremlins (1984)
"Little Shop of Horrors, The (1960)","Little Shop of Horrors, The (1960)",Little Shop of Horrors (1986),"Odd Couple, The (1968)",Tin Men (1987),"Jerk, The (1979)",Bananas (1971),Funny Farm (1988),Easy Rider (1969),"Gods Must Be Crazy, The (1980)",Blazing Saddles (1974)
"American President, The (1995)","American President, The (1995)",Pretty Woman (1990),Jerry Maguire (1996),Dave (1993),As Good As It Gets (1997),My Best Friend's Wedding (1997),Ghost (1990),While You Were Sleeping (1995),Notting Hill (1999),Forrest Gump (1994)
Meatballs (1979),Meatballs (1979),Up in Smoke (1978),"Jerk, The (1979)",Mr. Mom (1983),Stripes (1981),"Return of the Pink Panther, The (1974)",Scrooged (1988),Trading Places (1983),Back to School (1986),Peggy Sue Got Married (1986)
Some Like It Hot (1959),Some Like It Hot (1959),Cool Hand Luke (1967),"Producers, The (1968)",Network (1976),It Happened One Night (1934),Harvey (1950),Casablanca (1942),Citizen Kane (1941),"Godfather, The (1972)","Wizard of Oz, The (1939)"
Get Shorty (1995),Get Shorty (1995),Men in Black (1997),Out of Sight (1998),Lethal Weapon (1987),There's Something About Mary (1998),"Fugitive, The (1993)","Matrix, The (1999)","Full Monty, The (1997)",Total Recall (1990),"Hunt for Red October, The (1990)"
My Favorite Year (1982),My Favorite Year (1982),Local Hero (1983),Victor/Victoria (1982),Private Benjamin (1980),It Happened One Night (1934),Dead Men Don't Wear Plaid (1982),"Sting, The (1973)",Sleeper (1973),"Producers, The (1968)",Diner (1982)
"Last Detail, The (1973)","Last Detail, The (1973)","Kentucky Fried Movie, The (1977)",Bananas (1971),Network (1976),"Odd Couple, The (1968)",Sleeper (1973),Being There (1979),Dog Day Afternoon (1975),Carnal Knowledge (1971),Lonely Are the Brave (1962)
Forrest Gump (1994),Forrest Gump (1994),"Fugitive, The (1993)",Groundhog Day (1993),As Good As It Gets (1997),Jerry Maguire (1996),Men in Black (1997),Ferris Bueller's Day Off (1986),Ghost (1990),Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995)
Four Weddings and a Funeral (1994),Four Weddings and a Funeral (1994),"Full Monty, The (1997)",Clueless (1995),Groundhog Day (1993),Pretty Woman (1990),Shakespeare in Love (1998),My Best Friend's Wedding (1997),"American President, The (1995)",Forrest Gump (1994),Dave (1993)
To Catch a Thief (1955),To Catch a Thief (1955),Charade (1963),"Philadelphia Story, The (1940)",Some Like It Hot (1959),Sabrina (1954),His Girl Friday (1940),It Happened One Night (1934),Mister Roberts (1955),Lady and the Tramp (1955),"Manchurian Candidate, The (1962)"
Father of the Bride (1950),Father of the Bride (1950),Sabrina (1954),"Goodbye Girl, The (1977)",Guess Who's Coming to Dinner (1967),Mr. Mom (1983),Trading Places (1983),Cocoon (1985),"Good Morning, Vietnam (1987)","Jerk, The (1979)",Parenthood (1989)
To Be or Not to Be (1942),To Be or Not to Be (1942),Sullivan's Travels (1942),Monsieur Verdoux (1947),"Palm Beach Story, The (1942)",My Man Godfrey (1936),"Great Dictator, The (1940)","Band Wagon, The (1953)",It Happened One Night (1934),Born Yesterday (1950),"Best Years of Our Lives, The (1946)"
Hang 'em High (1967),Hang 'em High (1967),High Plains Drifter (1972),For a Few Dollars More (1965),"Outlaw Josey Wales, The (1976)",Jeremiah Johnson (1972),Pale Rider (1985),Unforgiven (1992),True Grit (1969),"Searchers, The (1956)","Dirty Dozen, The (1967)"
My Man Godfrey (1936),My Man Godfrey (1936),Bringing Up Baby (1938),His Girl Friday (1940),It Happened One Night (1934),"General, The (1927)",To Be or Not to Be (1942),"Lady Vanishes, The (1938)",Top Hat (1935),"Palm Beach Story, The (1942)","Band Wagon, The (1953)"
"Raven, The (1963)","Raven, The (1963)",House of Dracula (1945),"Masque of the Red Death, The (1964)",Son of Dracula (1943),"Ghost of Frankenstein, The (1942)","Tingler, The (1959)","Toxic Avenger, Part II, The (1989)","Innocents, The (1961)","Mummy's Tomb, The (1942)",Son of Frankenstein (1939)
Dave (1993),Dave (1993),"American President, The (1995)",Groundhog Day (1993),Romancing the Stone (1984),Back to the Future Part II (1989),Wayne's World (1992),Splash (1984),Lethal Weapon (1987),Lethal Weapon 2 (1989),Pleasantville (1998)
Harvey (1950),Harvey (1950),Some Like It Hot (1959),"Producers, The (1968)",Bringing Up Baby (1938),"Odd Couple, The (1968)",It Happened One Night (1934),My Favorite Year (1982),Guess Who's Coming to Dinner (1967),"Searchers, The (1956)",American Graffiti (1973)
His Girl Friday (1940),His Girl Friday (1940),My Man Godfrey (1936),Bringing Up Baby (1938),Sullivan's Travels (1942),"Lady Eve, The (1941)",It Happened One Night (1934),"Philadelphia Story, The (1940)",Top Hat (1935),"Great Dictator, The (1940)","Palm Beach Story, The (1942)"
Liar Liar (1997),Liar Liar (1997),Home Alone (1990),Ace Ventura: Pet Detective (1994),Wayne's World (1992),Mrs. Doubtfire (1993),Dumb & Dumber (1994),Austin Powers: International Man of Mystery (1997),Happy Gilmore (1996),Sister Act (1992),Tommy Boy (1995)
Bringing Up Baby (1938),Bringing Up Baby (1938),My Man Godfrey (1936),His Girl Friday (1940),It Happened One Night (1934),"Philadelphia Story, The (1940)","Lady Eve, The (1941)",Sullivan's Travels (1942),Arsenic and Old Lace (1944),Born Yesterday (1950),Some Like It Hot (1959)
"Scarlet Letter, The (1926)","Scarlet Letter, The (1926)","I Love You, Don't Touch Me! (1998)","Mating Habits of the Earthbound Human, The (1998)",Haunted Honeymoon (1986),Vibes (1988),Doctor Dolittle (1967),Hideous Kinky (1998),"Great Muppet Caper, The (1981)",Surviving Picasso (1996),Mediterraneo (1991)
Mr. Mom (1983),Mr. Mom (1983),Arthur (1981),Private Benjamin (1980),Weird Science (1985),Parenthood (1989),Risky Business (1983),"Good Morning, Vietnam (1987)",Trading Places (1983),Scrooged (1988),Romancing the Stone (1984)
"Lady Eve, The (1941)","Lady Eve, The (1941)","Palm Beach Story, The (1942)",Sullivan's Travels (1942),His Girl Friday (1940),Bringing Up Baby (1938),It Happened One Night (1934),"Philadelphia Story, The (1940)",To Be or Not to Be (1942),"General, The (1927)",Monsieur Verdoux (1947)
Sullivan's Travels (1942),Sullivan's Travels (1942),To Be or Not to Be (1942),His Girl Friday (1940),"Lady Eve, The (1941)","Palm Beach Story, The (1942)",Bringing Up Baby (1938),"General, The (1927)","Great Dictator, The (1940)",Modern Times (1936),City Lights (1931)
"Return of the Pink Panther, The (1974)","Return of the Pink Panther, The (1974)",Heaven Can Wait (1978),"Jerk, The (1979)",Meatballs (1979),Night Shift (1982),Trading Places (1983),Willy Wonka and the Chocolate Factory (1971),Stripes (1981),"Man with Two Brains, The (1983)",Herbie Rides Again (1974)
Airplane II: The Sequel (1982),Airplane II: The Sequel (1982),Police Academy (1984),Three Amigos! (1986),Gung Ho (1986),Airplane! (1980),Back to the Future Part II (1989),"Money Pit, The (1986)",Weird Science (1985),Scrooged (1988),Funny Farm (1988)
Escape from New York (1981),Escape from New York (1981),Predator (1987),Aliens (1986),Escape from L.A. (1996),Mad Max (1979),Alien (1979),Mad Max Beyond Thunderdome (1985),Westworld (1973),"Thing, The (1982)","Fly, The (1986)"
King Kong (1933),King Kong (1933),Frankenstein (1931),Jaws (1975),Bride of Frankenstein (1935),"Birds, The (1963)",Invasion of the Body Snatchers (1956),Alien (1979),"Thing, The (1982)",Goldfinger (1964),Die Hard (1988)
My Man Godfrey (1957),My Man Godfrey (1957),My Man Godfrey (1936),"Taming of the Shrew, The (1967)",For the Moment (1994),"Great Locomotive Chase, The (1956)",In Search of the Castaways (1962),Harvey (1950),"Son of the Sheik, The (1926)","Wolf Man, The (1941)",Tarzan the Fearless (1933)
Little Lord Fauntleroy (1936),Little Lord Fauntleroy (1936),Alvarez Kelly (1966),Lost Horizon (1937),Hell in the Pacific (1968),Penitentiary II (1982),"Fury, The (1978)",Eight Days a Week (1997),Little Men (1998),Johns (1996),Of Human Bondage (1934)
Big Trouble in Little China (1986),Big Trouble in Little China (1986),Lethal Weapon 2 (1989),Gremlins (1984),Scrooged (1988),Back to the Future Part II (1989),Weird Science (1985),"Running Man, The (1987)","Golden Child, The (1986)","Shadow, The (1994)",Die Hard (1988)
Blazing Saddles (1974),Blazing Saddles (1974),Young Frankenstein (1974),"Blues Brothers, The (1980)",Monty Python and the Holy Grail (1974),Butch Cassidy and the Sundance Kid (1969),Apocalypse Now (1979),Big (1988),Raising Arizona (1987),American Graffiti (1973),Beetlejuice (1988)
Barefoot in the Park (1967),Barefoot in the Park (1967),"Old Man and the Sea, The (1958)","Goodbye Girl, The (1977)",Irma la Douce (1963),Guess Who's Coming to Dinner (1967),Around the World in 80 Days (1956),Son of Flubber (1963),Pollyanna (1960),Voyage to the Bottom of the Sea (1961),"Odd Couple, The (1968)"
White Christmas (1954),White Christmas (1954),Holiday Inn (1942),"King and I, The (1956)",Sleeping Beauty (1959),Gypsy (1962),Cinderella (1950),"Sound of Music, The (1965)",Gigi (1958),Doctor Dolittle (1967),Newsies (1992)
"Philadelphia Story, The (1940)","Philadelphia Story, The (1940)",Bringing Up Baby (1938),Arsenic and Old Lace (1944),His Girl Friday (1940),It Happened One Night (1934),"Lady Eve, The (1941)",To Catch a Thief (1955),Top Hat (1935),Notorious (1946),"Palm Beach Story, The (1942)"
"Pajama Game, The (1957)","Pajama Game, The (1957)",Funny Face (1957),Hotel de Love (1996),"Pompatus of Love, The (1996)","Glass Bottom Boat, The (1966)",Mad Dog Time (1996),"General, The (1927)",Doug's 1st Movie (1999),Down Periscope (1996),"Goodbye Girl, The (1977)"
Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail (1974),Raising Arizona (1987),Young Frankenstein (1974),Star Wars: Episode IV - A New Hope (1977),Ferris Bueller's Day Off (1986),Star Wars: Episode V - The Empire Strikes Back (1980),Stand by Me (1986),Back to the Future (1985),"Princess Bride, The (1987)",Blazing Saddles (1974)
"Goodbye Girl, The (1977)","Goodbye Girl, The (1977)",Heaven Can Wait (1978),Shampoo (1975),Murphy's Romance (1985),"Paper Chase, The (1973)",Midnight Express (1978),"Odd Couple, The (1968)",Guess Who's Coming to Dinner (1967),Being There (1979),American Graffiti (1973)
Fletch (1985),Fletch (1985),Fletch Lives (1989),Scrooged (1988),Weird Science (1985),Stripes (1981),Mr. Mom (1983),Trading Places (1983),"Money Pit, The (1986)",Three Amigos! (1986),Ferris Bueller's Day Off (1986)
Sleeper (1973),Sleeper (1973),Bananas (1971),Love and Death (1975),Annie Hall (1977),Being There (1979),Network (1976),Blade Runner (1982),Little Big Man (1970),Saving Private Ryan (1998),Take the Money and Run (1969)
My Dog Skip (1999),My Dog Skip (1999),Notting Hill (1999),Best in Show (2000),Return to Me (2000),Erin Brockovich (2000),Grease (1978),28 Days (2000),Shine (1996),Keeping the Faith (2000),My Best Friend's Wedding (1997)
Kelly's Heroes (1970),Kelly's Heroes (1970),Where Eagles Dare (1969),"Guns of Navarone, The (1961)","Dirty Dozen, The (1967)","Great Escape, The (1963)",Butch Cassidy and the Sundance Kid (1969),"Odd Couple, The (1968)",Dr. No (1962),Westworld (1973),High Plains Drifter (1972)
Porky's Revenge (1985),Porky's Revenge (1985),Porky's II: The Next Day (1983),Shanghai Surprise (1986),House Party 2 (1991),For Richer or Poorer (1997),Weekend at Bernie's (1989),She-Devil (1989),Bachelor Party (1984),Striking Distance (1993),Gang Related (1997)
Sliding Doors (1998),Sliding Doors (1998),Jerry Maguire (1996),You've Got Mail (1998),Sleepless in Seattle (1993),Notting Hill (1999),"Piano, The (1993)",My Best Friend's Wedding (1997),Titanic (1997),Four Weddings and a Funeral (1994),Forrest Gump (1994)
Defending Your Life (1991),Defending Your Life (1991),Mother (1996),Dave (1993),Parenthood (1989),"Fisher King, The (1991)",Radio Days (1987),L.A. Story (1991),"American President, The (1995)",Groundhog Day (1993),Broadcast News (1987)
Forces of Nature (1999),Forces of Nature (1999),Picture Perfect (1997),French Kiss (1995),Addicted to Love (1997),Mixed Nuts (1994),She's the One (1996),Lost & Found (1999),Something to Talk About (1995),Circle of Friends (1995),Only You (1994)
"Naked Gun: From the Files of Police Squad!, The (1988)","Naked Gun: From the Files of Police Squad!, The (1988)",Airplane! (1980),Stripes (1981),Scrooged (1988),Sixteen Candles (1984),Back to the Future Part II (1989),Ferris Bueller's Day Off (1986),There's Something About Mary (1998),Gremlins (1984),Parenthood (1989)
"Shining, The (1980)","Shining, The (1980)","Exorcist, The (1973)",Jaws (1975),Gremlins (1984),Misery (1990),Poltergeist (1982),Ghostbusters (1984),Young Frankenstein (1974),Psycho (1960),Raising Arizona (1987)
City of Angels (1998),City of Angels (1998),You've Got Mail (1998),Notting Hill (1999),Hope Floats (1998),My Best Friend's Wedding (1997),One Fine Day (1996),Jerry Maguire (1996),Pretty Woman (1990),Titanic (1997),"Wedding Singer, The (1998)"
Sabrina (1995),Sabrina (1995),Pretty Woman (1990),My Best Friend's Wedding (1997),While You Were Sleeping (1995),You've Got Mail (1998),"American President, The (1995)",Hope Floats (1998),Notting Hill (1999),It Could Happen to You (1994),Sabrina (1954)
Weird Science (1985),Weird Science (1985),"Money Pit, The (1986)",Scrooged (1988),Fletch (1985),Three Amigos! (1986),Ghostbusters II (1989),Harry and the Hendersons (1987),Mr. Mom (1983),Fletch Lives (1989),Police Academy (1984)
Frequency (2000),Frequency (2000),Erin Brockovich (2000),Gladiator (2000),Mission to Mars (2000),"Sixth Sense, The (1999)","Perfect Storm, The (2000)",Almost Famous (2000),High Fidelity (2000),Final Destination (2000),X-Men (2000)
"Blair Witch Project, The (1999)","Blair Witch Project, The (1999)",Sleepy Hollow (1999),Scream (1996),Misery (1990),Ghostbusters (1984),"Sixth Sense, The (1999)",Clerks (1994),"Shining, The (1980)",American Pie (1999),Austin Powers: The Spy Who Shagged Me (1999)
French Kiss (1995),French Kiss (1995),Forces of Nature (1999),My Best Friend's Wedding (1997),While You Were Sleeping (1995),You've Got Mail (1998),Mixed Nuts (1994),Pretty Woman (1990),Picture Perfect (1997),She's the One (1996),It Could Happen to You (1994)
"'burbs, The (1989)","'burbs, The (1989)",Funny Farm (1988),Scrooged (1988),Police Academy 4: Citizens on Patrol (1987),Police Academy 2: Their First Assignment (1985),Harry and the Hendersons (1987),Three Amigos! (1986),Police Academy 3: Back in Training (1986),Gung Ho (1986),"Money Pit, The (1986)"
Young Frankenstein (1974),Young Frankenstein (1974),Monty Python and the Holy Grail (1974),Jaws (1975),Butch Cassidy and the Sundance Kid (1969),Blazing Saddles (1974),Raising Arizona (1987),Ghostbusters (1984),Airplane! (1980),Alien (1979),"Godfather: Part II, The (1974)"
There's Something About Mary (1998),There's Something About Mary (1998),Wayne's World (1992),Austin Powers: International Man of Mystery (1997),Groundhog Day (1993),Pleasantville (1998),As Good As It Gets (1997),Forrest Gump (1994),"Full Monty, The (1997)",Ferris Bueller's Day Off (1986),My Cousin Vinny (1992)
Who's Harry Crumb? (1989),Who's Harry Crumb? (1989),Police Academy 2: Their First Assignment (1985),Weekend at Bernie's (1989),Police Academy 3: Back in Training (1986),"Money Pit, The (1986)",Police Academy 4: Citizens on Patrol (1987),Scrooged (1988),Harry and the Hendersons (1987),My Blue Heaven (1990),Three Amigos! (1986)
Harry and the Hendersons (1987),Harry and the Hendersons (1987),She-Devil (1989),Gung Ho (1986),Crocodile Dundee II (1988),Weird Science (1985),"Money Pit, The (1986)",Popeye (1980),Scrooged (1988),Weekend at Bernie's (1989),Ghostbusters II (1989)
"Omen, The (1976)","Omen, The (1976)",Halloween (1978),Carrie (1976),Damien: Omen II (1978),"Exorcist, The (1973)","Howling, The (1980)","Fog, The (1980)","Texas Chainsaw Massacre, The (1974)",Cat People (1982),"Dead Zone, The (1983)"
Heathers (1989),Heathers (1989),Raising Arizona (1987),Say Anything... (1989),Sixteen Candles (1984),Ferris Bueller's Day Off (1986),Pee-wee's Big Adventure (1985),"Breakfast Club, The (1985)",Beetlejuice (1988),Do the Right Thing (1989),Airplane! (1980)
Keeping the Faith (2000),Keeping the Faith (2000),High Fidelity (2000),Meet the Parents (2000),Erin Brockovich (2000),Notting Hill (1999),Only You (1994),Best in Show (2000),"Sixth Sense, The (1999)",Gladiator (2000),Almost Famous (2000)
Rosemary's Baby (1968),Rosemary's Baby (1968),"Exorcist, The (1973)",Psycho (1960),Carrie (1976),"Omen, The (1976)","Birds, The (1963)","Fly, The (1986)","Howling, The (1980)",North by Northwest (1959),Jaws (1975)
Matilda (1996),Matilda (1996),Home Alone 3 (1997),Harriet the Spy (1996),Home Alone 2: Lost in New York (1992),Bogus (1996),"Brady Bunch Movie, The (1995)",Madeline (1998),"Flintstones, The (1994)","Beverly Hillbillies, The (1993)",Stuart Saves His Family (1995)
While You Were Sleeping (1995),While You Were Sleeping (1995),My Best Friend's Wedding (1997),Pretty Woman (1990),You've Got Mail (1998),Notting Hill (1999),"American President, The (1995)",Sister Act (1992),Sleepless in Seattle (1993),Ghost (1990),Hope Floats (1998)
Hope Floats (1998),Hope Floats (1998),My Best Friend's Wedding (1997),Only You (1994),Pretty Woman (1990),You've Got Mail (1998),Something to Talk About (1995),Mrs. Winterbourne (1996),"Corrina, Corrina (1994)",While You Were Sleeping (1995),City of Angels (1998)
Grease 2 (1982),Grease 2 (1982),"Blue Lagoon, The (1980)",Peggy Sue Got Married (1986),"Money Pit, The (1986)",Grease (1978),Crocodile Dundee II (1988),Mr. Mom (1983),Death Becomes Her (1992),Candleshoe (1977),No Small Affair (1984)
Misery (1990),Misery (1990),Scream (1996),"Shining, The (1980)",Carrie (1976),"Exorcist, The (1973)",Sleepy Hollow (1999),"Blair Witch Project, The (1999)","Craft, The (1996)",Gremlins (1984),Poltergeist (1982)
Can't Hardly Wait (1998),Can't Hardly Wait (1998),Robin Hood: Men in Tights (1993),Dirty Work (1998),Billy Madison (1995),"Cable Guy, The (1996)","Wedding Singer, The (1998)",Mallrats (1995),Happy Gilmore (1996),Dead Man on Campus (1998),10 Things I Hate About You (1999)
One Crazy Summer (1986),One Crazy Summer (1986),Who's That Girl? (1987),Police Academy 2: Their First Assignment (1985),Scrooged (1988),Better Off Dead... (1985),Vibes (1988),Funny Farm (1988),Real Genius (1985),She-Devil (1989),Police Academy 4: Citizens on Patrol (1987)
Soapdish (1991),Soapdish (1991),Exit to Eden (1994),Weird Science (1985),Scrooged (1988),Death Becomes Her (1992),Blind Date (1987),Singles (1992),Dave (1993),So I Married an Axe Murderer (1993),To Die For (1995)
Days of Thunder (1990),Days of Thunder (1990),Waterworld (1995),"Karate Kid, Part II, The (1986)",Cliffhanger (1993),Backdraft (1991),Under Siege 2: Dark Territory (1995),Lethal Weapon 3 (1992),Under Siege (1992),"Peacemaker, The (1997)","Saint, The (1997)"
