Mission: Impossible (1996),Total Recall (1990),Gladiator (2000),X-Men (2000),"Hunt for Red October, The (1990)",Terminator 2: Judgment Day (1991),Heat (1995),Demolition Man (1993),"Rock, The (1996)",Speed (1994),Enemy of the State (1998),Star Wars: Episode V - The Empire Strikes Back (1980)
1240,0,0,0,3,0,0,0,0,0,0,0,4
1444,0,0,0,4,0,0,0,0,0,0,0,0
1474,0,0,0,4,0,2,0,0,0,0,0,4
1684,0,0,0,5,0,0,0,0,0,0,0,0
1700,0,0,0,5,0,0,0,0,0,0,0,0
1738,0,0,0,4,0,4,0,0,0,0,0,0
1786,0,0,0,4,0,4,0,0,0,0,0,0
2081,0,0,0,3,0,0,5,0,0,0,0,0
2152,0,0,0,4,0,0,0,0,0,0,0,0
2342,0,0,0,5,0,5,0,0,0,0,0,4
2362,0,0,0,3,0,0,0,0,0,0,0,0
2731,0,0,0,5,5,0,0,0,0,5,0,5
2988,0,0,0,4,0,0,0,0,0,0,0,0
3040,0,0,0,5,0,5,0,0,0,0,0,0
3130,0,0,0,4,0,0,0,0,0,0,0,0
3149,0,0,0,5,0,0,0,0,0,0,0,0
3337,0,0,0,4,0,0,0,0,0,0,0,5
3396,0,0,0,4,0,0,0,0,0,0,0,4
3673,0,0,0,4,0,0,0,0,0,0,0,0
3893,0,0,0,3,0,0,0,0,0,0,0,0
3926,0,0,0,4,0,0,0,0,0,0,0,0
4067,0,0,0,4,0,0,0,0,0,0,0,0
4352,0,0,0,5,0,5,4,3,5,5,0,0
314,0,0,0,0,3,0,0,0,0,5,0,0
693,0,0,0,0,5,5,0,0,0,5,0,5
865,0,0,0,0,4,0,0,0,0,0,0,4
954,0,0,0,0,3,0,0,0,0,0,0,4
1162,0,0,0,0,3,3,0,0,3,0,0,4
1167,0,0,0,0,4,0,0,0,0,0,0,0
1349,0,0,0,0,5,5,0,0,0,5,0,5
1506,0,0,0,0,4,0,0,0,0,0,0,5
2100,0,0,0,0,4,0,0,0,4,4,0,5
2369,0,0,0,0,5,5,0,0,0,0,0,0
2384,0,0,0,0,5,0,0,2,0,0,0,0
2388,0,0,0,0,4,0,0,0,0,0,0,0
2401,0,0,0,0,4,5,0,0,0,0,0,5
2524,0,0,0,0,4,0,0,0,0,0,0,0
2609,0,0,0,0,4,0,3,0,0,0,0,0
2646,0,0,0,0,5,4,0,0,0,0,0,5
2830,0,0,0,0,4,0,0,0,3,0,0,0
3026,0,0,0,0,4,0,0,0,0,0,0,0
3042,0,0,0,0,5,2,0,0,0,0,0,0
3212,0,0,0,0,1,0,0,0,0,0,0,2
3334,0,0,0,0,4,0,2,0,0,0,0,0
3600,0,0,0,0,4,0,0,0,5,3,0,0
4783,0,0,0,0,4,4,0,0,0,3,0,0
4844,0,0,0,0,5,0,0,0,0,0,0,0
4922,0,0,0,0,3,0,0,0,0,3,0,0
4959,0,0,0,0,4,0,5,0,0,0,0,0
5331,0,0,0,0,5,0,0,0,0,0,0,0
5442,0,0,0,0,4,4,4,0,0,0,0,0
5750,0,0,0,0,3,1,0,0,0,0,0,0
5873,0,0,0,0,4,5,0,0,0,0,0,0
5894,0,0,0,0,4,3,0,0,4,4,0,0
6014,0,0,0,0,4,0,0,0,0,0,0,0
248,0,0,0,0,0,3,0,0,0,3,0,5
394,0,0,0,0,0,5,3,0,3,0,3,0
400,0,0,0,0,0,3,0,0,0,0,0,5
418,0,0,0,0,0,3,0,0,0,0,4,0
576,0,0,0,0,0,4,0,0,0,0,0,5
613,0,0,0,0,0,5,0,0,0,0,0,5
661,0,0,0,0,0,5,0,0,0,0,0,5
751,0,0,0,0,0,5,0,0,0,0,0,0
1027,0,0,0,0,0,2,0,0,0,0,0,0
1108,0,0,0,0,0,5,0,0,0,0,0,0
1177,0,0,0,0,0,5,0,0,0,0,0,0
1236,0,0,0,0,0,4,0,0,0,0,0,2
1307,0,0,0,0,0,5,0,0,0,0,0,0
1512,0,0,0,0,0,4,0,0,0,0,0,0
1513,0,0,0,0,0,4,0,0,0,0,0,4
1515,0,0,0,0,0,4,0,0,0,0,0,4
1518,0,0,0,0,0,5,0,0,0,0,0,5
1531,0,0,0,0,0,4,0,0,0,0,0,0
1550,0,0,0,0,0,3,0,0,0,0,0,0
1659,0,0,0,0,0,4,0,4,0,0,0,0
1662,0,0,0,0,0,4,0,0,0,0,0,0
1766,0,0,0,0,0,3,0,0,0,0,0,0
1797,0,0,0,0,0,4,0,0,0,0,0,4
1886,0,0,0,0,0,5,0,0,0,0,0,0
1981,0,0,0,0,0,5,0,0,0,0,0,0
1991,0,0,0,0,0,5,0,0,0,0,0,0
2046,0,0,0,0,0,3,0,0,0,0,0,0
2048,0,0,0,0,0,5,0,0,0,0,0,0
2121,0,0,0,0,0,3,0,0,0,0,0,0
2132,0,0,0,0,0,3,0,0,0,0,0,3
2360,0,0,0,0,0,4,0,0,0,0,0,0
2375,0,0,0,0,0,2,0,0,0,0,0,0
2399,0,0,0,0,0,4,0,0,0,0,0,0
2407,0,0,0,0,0,5,0,0,0,3,0,0
2463,0,0,0,0,0,4,0,0,0,0,0,5
2473,0,0,0,0,0,5,0,0,0,0,0,0
2572,0,0,0,0,0,5,0,0,0,0,4,5
2589,0,0,0,0,0,3,0,0,0,0,0,4
2619,0,0,0,0,0,4,0,0,0,0,0,3
2675,0,0,0,0,0,4,0,0,0,0,0,0
2823,0,0,0,0,0,2,0,0,0,0,0,0
2862,0,0,0,0,0,2,0,0,0,0,0,4
2922,0,0,0,0,0,5,4,0,0,0,0,0
3019,0,0,0,0,0,5,0,0,0,0,0,0
3357,0,0,0,0,0,4,0,0,0,0,0,0
3409,0,0,0,0,0,5,5,0,3,0,3,0
3523,0,0,0,0,0,3,0,0,0,0,0,0
3928,0,0,0,0,0,4,0,3,0,0,0,0
4090,0,0,0,0,0,3,0,0,0,0,0,0
4355,0,0,0,0,0,4,0,0,0,0,0,0
4634,0,0,0,0,0,5,0,0,0,5,0,0
4794,0,0,0,0,0,3,0,0,0,4,5,0
4853,0,0,0,0,0,4,0,0,0,0,0,0
4908,0,0,0,0,0,4,0,0,0,0,0,0
4914,0,0,0,0,0,4,0,0,3,4,0,0
5061,0,0,0,0,0,4,0,0,0,0,0,0
5257,0,0,0,0,0,1,0,0,0,0,0,0
5349,0,0,0,0,0,3,0,0,0,4,0,0
5352,0,0,0,0,0,4,0,0,0,0,0,0
5618,0,0,0,0,0,4,0,0,5,0,5,0
5628,0,0,0,0,0,4,0,0,0,0,0,0
5799,0,0,0,0,0,4,0,0,0,0,0,0
5833,0,0,0,0,0,3,0,0,0,0,0,0
6040,0,0,0,0,0,4,0,0,0,0,0,0
1212,0,0,0,0,0,0,4,0,0,0,0,0
1777,0,0,0,0,0,0,4,0,0,0,0,4
2226,0,0,0,0,0,0,4,0,0,0,0,0
2528,0,0,0,0,0,0,5,0,0,0,0,0
3027,0,0,0,0,0,0,5,0,0,0,0,5
3882,0,0,0,0,0,0,5,0,0,0,0,0
4474,0,0,0,0,0,0,5,0,0,0,0,0
4480,0,0,0,0,0,0,4,0,2,2,0,0
5148,0,0,0,0,0,0,4,0,3,4,0,0
5974,0,0,0,0,0,0,4,0,0,0,0,0
513,0,0,0,0,0,0,0,2,0,0,0,4
813,0,0,0,0,0,0,0,2,0,0,0,0
4229,0,0,0,0,0,0,0,1,0,0,0,0
4798,0,0,0,0,0,0,0,3,0,0,0,0
4852,0,0,0,0,0,0,0,1,0,0,0,0
581,0,0,0,0,0,0,0,0,4,0,0,0
728,0,0,0,0,0,0,0,0,3,0,0,4
1081,0,0,0,0,0,0,0,0,4,0,0,0
5164,0,0,0,0,0,0,0,0,2,0,0,0
5297,0,0,0,0,0,0,0,0,5,5,0,0
797,0,0,0,0,0,0,0,0,0,5,0,0
1475,0,0,0,0,0,0,0,0,0,1,0,5
2273,0,0,0,0,0,0,0,0,0,4,0,0
2506,0,0,0,0,0,0,0,0,0,4,0,0
2997,0,0,0,0,0,0,0,0,0,4,0,0
3197,0,0,0,0,0,0,0,0,0,3,0,0
3211,0,0,0,0,0,0,0,0,0,2,0,0
3585,0,0,0,0,0,0,0,0,0,3,0,0
3601,0,0,0,0,0,0,0,0,0,4,0,0
4082,0,0,0,0,0,0,0,0,0,4,4,0
4257,0,0,0,0,0,0,0,0,0,3,0,0
4707,0,0,0,0,0,0,0,0,0,4,0,0
4973,0,0,0,0,0,0,0,0,0,4,0,0
34,0,0,0,0,0,0,0,0,0,0,0,5
35,0,0,0,0,0,0,0,0,0,0,0,4
75,0,0,0,0,0,0,0,0,0,0,0,4
114,0,0,0,0,0,0,0,0,0,0,0,3
155,0,0,0,0,0,0,0,0,0,0,0,4
226,0,0,0,0,0,0,0,0,0,0,0,3
266,0,0,0,0,0,0,0,0,0,0,0,5
286,0,0,0,0,0,0,0,0,0,0,0,4
348,0,0,0,0,0,0,0,0,0,0,0,5
589,0,0,0,0,0,0,0,0,0,0,0,3
656,0,0,0,0,0,0,0,0,0,0,0,3
682,0,0,0,0,0,0,0,0,0,0,0,5
943,0,0,0,0,0,0,0,0,0,0,0,5
1131,0,0,0,0,0,0,0,0,0,0,0,5
1257,0,0,0,0,0,0,0,0,0,0,0,2
1310,0,0,0,0,0,0,0,0,0,0,0,4
1321,0,0,0,0,0,0,0,0,0,0,0,4
1375,0,0,0,0,0,0,0,0,0,0,0,3
1386,0,0,0,0,0,0,0,0,0,0,0,3
1736,0,0,0,0,0,0,0,0,0,0,0,4
1744,0,0,0,0,0,0,0,0,0,0,0,5
2115,0,0,0,0,0,0,0,0,0,0,0,4
2193,0,0,0,0,0,0,0,0,0,0,0,5
2334,0,0,0,0,0,0,0,0,0,0,0,4
2336,0,0,0,0,0,0,0,0,0,0,0,3
2410,0,0,0,0,0,0,0,0,0,0,0,4
2548,0,0,0,0,0,0,0,0,0,0,0,5
2628,0,0,0,0,0,0,0,0,0,0,0,4
2849,0,0,0,0,0,0,0,0,0,0,0,5
2989,0,0,0,0,0,0,0,0,0,0,0,4
3131,0,0,0,0,0,0,0,0,0,0,0,3
3142,0,0,0,0,0,0,0,0,0,0,0,4
3166,0,0,0,0,0,0,0,0,0,0,0,4
3170,0,0,0,0,0,0,0,0,0,0,0,4
3383,0,0,0,0,0,0,0,0,0,0,0,3
