"title";"uri";"id";"uri_data_http://dbpedia.org/ontology/releaseDate";"uri_data_http://dbpedia.org/ontology/Work/runtime";"uri_data_http://dbpedia.org/ontology/wikiPageRevisionID";"uri_data_http://dbpedia.org/ontology/runtime";"uri_data_http://dbpedia.org/ontology/budget";"uri_data_http://dbpedia.org/ontology/wikiPageID";"uri_data_http://dbpedia.org/ontology/gross"
"Even Cowgirls Get the Blues (1993)";"http://dbpedia.org/resource/Even_Cowgirls_Get_the_Blues_(film)";444.0;;96.0;5.98021104E8;5760.0;8000000.0;7766704.0;1708873.0
"Blame It on Rio (1984)";"http://dbpedia.org/resource/Blame_It_on_Rio";2259.0;;100.0;6.05564705E8;6000.0;;3130366.0;1.8561998E7
"Drive Me Crazy (1999)";"http://dbpedia.org/resource/Drive_Me_Crazy";2888.0;10/1/99 12:00 AM;91.0;6.06087105E8;5460.0;8000000.0;3492280.0;2.2593409E7
"Fatal Instinct (1993)";"http://dbpedia.org/resource/Fatal_Instinct";445.0;10/29/93 12:00 AM;91.0;5.92601004E8;5460.0;;2046735.0;7852653.0
"Mystery, Alaska (1999)";"http://dbpedia.org/resource/Mystery,_Alaska";2889.0;10/1/99 12:00 AM;119.0;6.02636096E8;7140.0;2.8E7;2825783.0;8891623.0
"Farewell My Concubine (1993)";"http://dbpedia.org/resource/Farewell_My_Concubine_(film)";446.0;;171.0;6.0656169E8;10260.0;;204774.0;5216888.0
"Adventures of Elmo in Grouchland, The (1999)";"http://dbpedia.org/resource/The_Adventures_of_Elmo_in_Grouchland";2886.0;;73.0;6.06650903E8;4380.0;2.6E7;217784.0;1.1683047E7
"Favor, The (1994)";"http://dbpedia.org/resource/The_Favor";447.0;4/29/94 12:00 AM;97.0;5.86026519E8;5820.0;1.2E7;4343386.0;3134381.0
"Simon Sez (1999)";"http://dbpedia.org/resource/Simon_Sez";2887.0;9/24/99 12:00 AM;85.0;6.03171092E8;5100.0;;3298253.0;292152.0
"Dave (1993)";"http://dbpedia.org/resource/Dave_(film)";440.0;;110.0;6.04276149E8;6600.0;;693325.0;6.327071E7
"Young Doctors in Love (1982)";"http://dbpedia.org/resource/Young_Doctors_in_Love";2255.0;7/16/82 12:00 AM;96.0;6.05591218E8;5760.0;7000000.0;8212456.0;3.068886E7
"Dog Park (1998)";"http://dbpedia.org/resource/Dog_Park_(film)";2884.0;9/14/98 12:00 AM;91.0;5.93668394E8;5460.0;;761361.0;
"Dazed and Confused (1993)";"http://dbpedia.org/resource/Dazed_and_Confused";441.0;;;5.99099518E8;;;3.3581499E7;
"Parasite (1982)";"http://dbpedia.org/resource/Parasite_(film)";2256.0;3/12/82 12:00 AM;85.0;5.66487839E8;5100.0;;4363119.0;
"Guinevere (1999)";"http://dbpedia.org/resource/Guinevere_(film)";2885.0;;104.0;5.88076105E8;6240.0;2600000.0;847589.0;
"Demolition Man (1993)";"http://dbpedia.org/resource/Demolition_Man_(film)";442.0;;115.0;6.06555539E8;6900.0;5.7E7;548669.0;1.59055768E8
"No Small Affair (1984)";"http://dbpedia.org/resource/No_Small_Affair";2257.0;11/9/84 12:00 AM;102.0;6.0643521E8;6120.0;8500000.0;8674127.0;4994094.0
"Jakob the Liar (1999)";"http://dbpedia.org/resource/Jakob_the_Liar";2882.0;9/24/99 12:00 AM;120.0;5.96734125E8;7200.0;4.5E7;3574823.0;4956401.0
"Harry and the Hendersons (1987)";"http://dbpedia.org/resource/Harry_and_the_Hendersons";3388.0;;110.0;6.03128664E8;6600.0;1.6E7;2037975.0;4.9998613E7
"Mumford (1999)";"http://dbpedia.org/resource/Mumford_(film)";2883.0;9/24/99 12:00 AM;112.0;6.02023114E8;6720.0;2.8E7;4489906.0;4555459.0
"Fearless (1993)";"http://dbpedia.org/resource/Fearless_(1993_film)";448.0;;122.0;5.95775115E8;7320.0;;10977.0;6995302.0
"Fear of a Black Hat (1993)";"http://dbpedia.org/resource/Fear_of_a_Black_Hat";449.0;;89.0;6.04819934E8;5340.0;;1032688.0;
"Hoosiers (1986)";"http://dbpedia.org/resource/Hoosiers";3360.0;;115.0;6.05435481E8;6900.0;6000000.0;74375.0;2.8607524E7
"Bull Durham (1988)";"http://dbpedia.org/resource/Bull_Durham";3361.0;;108.0;6.04070532E8;6480.0;7000000.0;670386.0;5.0888729E7
"Dog Day Afternoon (1975)";"http://dbpedia.org/resource/Dog_Day_Afternoon";3362.0;;125.0;6.02526288E8;7500.0;1800000.0;101914.0;5.0E7
"With Honors (1994)";"http://dbpedia.org/resource/With_Honors_(film)";450.0;4/29/94 12:00 AM;103.0;6.03050242E8;6180.0;1.2E7;733901.0;2.0016254E7
"Cube (1997)";"http://dbpedia.org/resource/Cube_(film)";2232.0;9/9/97 12:00 AM;90.0;6.02374828E8;5400.0;350000.0;376485.0;501818.0
"American Graffiti (1973)";"http://dbpedia.org/resource/American_Graffiti";3363.0;8/2/73 12:00 AM;112.0;6.0644153E8;6720.0;775000.0;68124.0;1.4E8
"Rounders (1998)";"http://dbpedia.org/resource/Rounders_(film)";2231.0;9/11/98 12:00 AM;121.0;6.03989935E8;7260.0;1.2E7;923759.0;2.2912409E7
"Asphalt Jungle, The (1950)";"http://dbpedia.org/resource/The_Asphalt_Jungle";3364.0;;112.0;6.05935662E8;6720.0;1232000.0;894179.0;
"Always Tell Your Wife (1923)";"http://dbpedia.org/resource/Always_Tell_Your_Wife";2230.0;;20.0;5.56082051E8;1200.0;;1.4415689E7;
"Double Jeopardy (1999)";"http://dbpedia.org/resource/Double_Jeopardy_(film)";2881.0;9/24/99 12:00 AM;105.0;6.0665189E8;6300.0;7.0E7;818002.0;1.77841558E8
"Searchers, The (1956)";"http://dbpedia.org/resource/The_Searchers_(film)";3365.0;;119.0;6.05506808E8;7140.0;3750000.0;76335.0;
"For Love or Money (1993)";"http://dbpedia.org/resource/For_Love_or_Money_(1993_film)";453.0;10/1/93 12:00 AM;96.0;6.0476362E8;5760.0;3.0E7;2590780.0;1.114627E7
"Downhill (1927)";"http://dbpedia.org/resource/Downhill_(film)";2224.0;;74.0;5.86642516E8;4440.0;;1619872.0;
"Deliverance (1972)";"http://dbpedia.org/resource/Deliverance";2871.0;;110.0;6.05733653E8;6600.0;2000000.0;101899.0;4.6122355E7
"Ninth Gate, The (2000)";"http://dbpedia.org/resource/The_Ninth_Gate";3355.0;8/25/99 12:00 AM;133.0;6.04415071E8;7980.0;3.8E7;417891.0;5.8401898E7
"Firm, The (1993)";"http://dbpedia.org/resource/The_Firm_(1993_film)";454.0;;154.0;6.0518978E8;9240.0;4.2E7;3.9826036E7;2.70248367E8
"Easy Virtue (1927)";"http://dbpedia.org/resource/Easy_Virtue_(1928_film)";2225.0;;70.0;6.01108506E8;4200.0;;1649228.0;
"Excalibur (1981)";"http://dbpedia.org/resource/Excalibur_(film)";2872.0;;140.0;6.04468504E8;8400.0;1.1E7;250699.0;3.4967437E7
"Defending Your Life (1991)";"http://dbpedia.org/resource/Defending_Your_Life";3358.0;;112.0;6.04257761E8;6720.0;;2304640.0;1.6371128E7
"Flesh and Bone (1993)";"http://dbpedia.org/resource/Flesh_and_Bone_(film)";451.0;11/5/93 12:00 AM;126.0;5.860265E8;7560.0;;2216208.0;9488998.0
"Champagne (1928)";"http://dbpedia.org/resource/Champagne_(film)";2222.0;;93.0;5.83126987E8;5580.0;;1649249.0;
"Lulu on the Bridge (1998)";"http://dbpedia.org/resource/Lulu_on_the_Bridge";2873.0;;103.0;6.05088116E8;6180.0;;2547497.0;
"Widows' Peak (1994)";"http://dbpedia.org/resource/Widows'_Peak";452.0;5/13/94 12:00 AM;101.0;6.01397969E8;6060.0;;5830543.0;6243722.0
"Farmer's Wife, The (1928)";"http://dbpedia.org/resource/The_Farmer's_Wife";2223.0;;129.0;5.97044836E8;7740.0;;1011144.0;
"Pajama Game, The (1957)";"http://dbpedia.org/resource/The_Pajama_Game_(film)";2874.0;8/29/57 12:00 AM;101.0;6.05966324E8;6060.0;;1.3076317E7;2500000.0
"Fugitive, The (1993)";"http://dbpedia.org/resource/The_Fugitive_(1993_film)";457.0;;130.0;6.0619324E8;7800.0;4.4E7;1822067.0;3.6887576E8
"Mountain Eagle, The (1926)";"http://dbpedia.org/resource/The_Mountain_Eagle";2228.0;;57.0;5.86439199E8;3420.0;;916546.0;
"Sommersby (1993)";"http://dbpedia.org/resource/Sommersby";2875.0;2/5/93 12:00 AM;114.0;6.06115169E8;6840.0;3.0E7;977671.0;1.40081992E8
"Breaking Away (1979)";"http://dbpedia.org/resource/Breaking_Away";3359.0;;100.0;6.03273684E8;6000.0;2300000.0;103029.0;2.0E7
"Geronimo: An American Legend (1993)";"http://dbpedia.org/resource/Geronimo:_An_American_Legend";458.0;12/10/93 12:00 AM;115.0;6.03472374E8;6900.0;3.5E7;5019937.0;1.863562E7
"Pleasure Garden, The (1925)";"http://dbpedia.org/resource/The_Pleasure_Garden_(film)";2229.0;;75.0;5.88382006E8;4500.0;;940668.0;
"Thumbelina (1994)";"http://dbpedia.org/resource/Thumbelina_(1994_film)";2876.0;;86.0;6.06812297E8;5160.0;2.8E7;3469003.0;1.1373501E7
"Free Willy (1993)";"http://dbpedia.org/resource/Free_Willy";455.0;;112.0;6.06533116E8;6720.0;2.0E7;568034.0;1.53698625E8
"Ring, The (1927)";"http://dbpedia.org/resource/The_Ring_(1927_film)";2226.0;;89.0;5.84920101E8;5340.0;;1610940.0;
"Tommy (1975)";"http://dbpedia.org/resource/Tommy_(film)";2877.0;;;5.80828864E8;;;4.0970047E7;
"Fresh (1994)";"http://dbpedia.org/resource/Fresh_(1994_film)";456.0;;114.0;6.05107462E8;6840.0;3500000.0;1610563.0;8094616.0
"Lodger, The (1926)";"http://dbpedia.org/resource/The_Lodger_(2009_film)";2227.0;;95.0;5.9147376E8;5700.0;;1.9874156E7;
"Hell Night (1981)";"http://dbpedia.org/resource/Hell_Night";2878.0;8/28/81 12:00 AM;101.0;6.03931507E8;6060.0;;4083283.0;
"Getaway, The (1994)";"http://dbpedia.org/resource/The_Getaway_(1994_film)";459.0;2/11/94 12:00 AM;115.0;6.02888614E8;6900.0;;2641298.0;3.0057974E7
"Bound for Glory (1976)";"http://dbpedia.org/resource/Bound_for_Glory_(film)";3371.0;;147.0;5.99857609E8;8820.0;;101927.0;
"Bridge at Remagen, The (1969)";"http://dbpedia.org/resource/The_Bridge_at_Remagen";3372.0;;115.0;6.00745496E8;6900.0;;965432.0;1600000.0
"Betrayed (1988)";"http://dbpedia.org/resource/Betrayed_(1988_film)";3370.0;8/26/88 12:00 AM;127.0;5.62974922E8;7620.0;1.9E7;5457037.0;2.5816139E7
"Destination Moon (1950)";"http://dbpedia.org/resource/Destination_Moon_(film)";3375.0;;91.0;6.0664875E8;5460.0;;879000.0;
"Class (1983)";"http://dbpedia.org/resource/Class_(film)";2241.0;;98.0;6.03974361E8;5880.0;;358243.0;2.1667789E7
"Barefoot in the Park (1967)";"http://dbpedia.org/resource/Barefoot_in_the_Park_(film)";2870.0;;106.0;5.74103854E8;6360.0;2000000.0;8138535.0;1.9994515E7
"My Bodyguard (1980)";"http://dbpedia.org/resource/My_Bodyguard";2240.0;;96.0;5.98187053E8;5760.0;3000000.0;3753182.0;2.2482952E7
"Buck and the Preacher (1972)";"http://dbpedia.org/resource/Buck_and_the_Preacher";3373.0;;102.0;6.03860341E8;6120.0;;1.8764211E7;
"Go Fish (1994)";"http://dbpedia.org/resource/Go_Fish_(film)";461.0;6/10/94 12:00 AM;84.0;5.41263949E8;5040.0;15000.0;6721185.0;2408311.0
"Broadcast News (1987)";"http://dbpedia.org/resource/Broadcast_News_(film)";2243.0;;133.0;5.95962073E8;7980.0;1.5E7;129278.0;6.7331309E7
"Daughters of the Dust (1992)";"http://dbpedia.org/resource/Daughters_of_the_Dust";3374.0;9/10/91 12:00 AM;;5.54863202E8;;;2014023.0;
"Getting Even with Dad (1994)";"http://dbpedia.org/resource/Getting_Even_with_Dad";460.0;6/17/94 12:00 AM;104.0;5.77862096E8;6240.0;3.0E7;1235504.0;1.8869594E7
"Grandview, U.S.A. (1984)";"http://dbpedia.org/resource/Grandview,_U.S.A.";2242.0;;97.0;5.86026361E8;5820.0;5000000.0;1979044.0;4743119.0
"Digging to China (1998)";"http://dbpedia.org/resource/Digging_to_China";2233.0;9/11/98 12:00 AM;103.0;5.74924085E8;6180.0;;5689946.0;
"Caligula (1980)";"http://dbpedia.org/resource/Caligula_(film)";2862.0;;156.0;6.06598214E8;9360.0;1.75E7;243204.0;2.343812E7
"Big Country, The (1958)";"http://dbpedia.org/resource/The_Big_Country";3368.0;;165.0;5.88090775E8;9900.0;;30515.0;4000000.0
"Guilty as Sin (1993)";"http://dbpedia.org/resource/Guilty_as_Sin";463.0;;107.0;6.05416531E8;6420.0;2.9E7;664006.0;2.2886222E7
"Let's Talk About Sex (1998)";"http://dbpedia.org/resource/Let's_Talk_About_Sex_(film)";2234.0;9/11/98 12:00 AM;83.0;5.84892645E8;4980.0;;6948997.0;
"Devil's Brigade, The (1968)";"http://dbpedia.org/resource/The_Devil's_Brigade_(film)";3367.0;;130.0;6.04394042E8;7800.0;;6090957.0;8000000.0
"Hard Target (1993)";"http://dbpedia.org/resource/Hard_Target";464.0;;97.0;6.05324246E8;5820.0;1.95E7;1631497.0;7.4189677E7
"One Man's Hero (1999)";"http://dbpedia.org/resource/One_Man's_Hero";2235.0;;126.0;6.01422714E8;7560.0;;2670424.0;
"Blue Streak (1999)";"http://dbpedia.org/resource/Blue_Streak_(film)";2860.0;9/17/99 12:00 AM;93.0;6.03936188E8;5580.0;6.5E7;708479.0;1.177585E8
"Where Eagles Dare (1969)";"http://dbpedia.org/resource/Where_Eagles_Dare";3366.0;;155.0;6.06618854E8;9300.0;7700000.0;1145761.0;2.1E7
"Heaven & Earth (1993)";"http://dbpedia.org/resource/Heaven_&_Earth_(1993_film)";465.0;;140.0;6.01709865E8;8400.0;3.3E7;1546168.0;5864949.0
"Simon Birch (1998)";"http://dbpedia.org/resource/Simon_Birch";2236.0;;114.0;6.05631087E8;6840.0;3.0E7;2281450.0;1.8253415E7
"For Love of the Game (1999)";"http://dbpedia.org/resource/For_Love_of_the_Game_(film)";2861.0;;137.0;6.05087944E8;8220.0;5.0E7;1231856.0;4.611264E7
"Hot Shots! Part Deux (1993)";"http://dbpedia.org/resource/Hot_Shots!_Part_Deux";466.0;;86.0;6.06172243E8;5160.0;2.5E7;1416397.0;1.33752825E8
"Without Limits (1998)";"http://dbpedia.org/resource/Without_Limits";2237.0;;117.0;6.06566974E8;7020.0;2.5E7;4555463.0;777423.0
"Buddy Holly Story, The (1978)";"http://dbpedia.org/resource/The_Buddy_Holly_Story";2866.0;5/18/78 12:00 AM;113.0;6.04842915E8;6780.0;9000000.0;164359.0;1.43634E7
"Live Nude Girls (1995)";"http://dbpedia.org/resource/Live_Nude_Girls";467.0;12/8/95 12:00 AM;95.0;5.87956549E8;5700.0;;3673030.0;
"Fright Night (1985)";"http://dbpedia.org/resource/Fright_Night";2867.0;;108.0;6.02300446E8;6480.0;9000000.0;1123132.0;2.4922237E7
"Splendor (1999)";"http://dbpedia.org/resource/Splendor_(1999_film)";2864.0;;92.0;5.98208696E8;5520.0;;2.6147476E7;45703.0
"House of the Spirits, The (1993)";"http://dbpedia.org/resource/The_House_of_the_Spirits_(film)";469.0;10/17/93 12:00 AM;140.0;5.96680945E8;8400.0;4.0E7;1020702.0;6265311.0
"Sugar Town (1999)";"http://dbpedia.org/resource/Sugar_Town_(film)";2865.0;9/17/99 12:00 AM;92.0;5.81950499E8;5520.0;250000.0;6127063.0;178095.0
"Fright Night Part II (1989)";"http://dbpedia.org/resource/Fright_Night_II";2868.0;12/8/88 12:00 AM;104.0;6.00514595E8;6240.0;;2203406.0;2983784.0
"Cross of Iron (1977)";"http://dbpedia.org/resource/Cross_of_Iron";3339.0;;133.0;6.03727821E8;7980.0;6000000.0;449352.0;
"For All Mankind (1989)";"http://dbpedia.org/resource/For_All_Mankind";3338.0;11/1/89 12:00 AM;80.0;5.71770723E8;4800.0;;2441782.0;
"Jail Bait (1954)";"http://dbpedia.org/resource/Jail_Bait_(1954_film)";3335.0;;72.0;6.05857466E8;4320.0;22000.0;2669274.0;
"Player, The (1992)";"http://dbpedia.org/resource/The_Player_(film)";2289.0;;124.0;6.06550264E8;7440.0;8000000.0;358263.0;2.17061E7
"It Happened Here (1961)";"http://dbpedia.org/resource/It_Happened_Here";3336.0;5/25/66 12:00 AM;97.0;6.01806985E8;5820.0;20000.0;980439.0;
"Thing, The (1982)";"http://dbpedia.org/resource/The_Thing_(1982_film)";2288.0;;109.0;6.0580027E8;6540.0;1.5E7;30809.0;1.962976E7
"Killing of Sister George, The (1968)";"http://dbpedia.org/resource/The_Killing_of_Sister_George";3333.0;;138.0;6.01103304E8;8280.0;2550000.0;2614399.0;5325000.0
"Key Largo (1948)";"http://dbpedia.org/resource/Key_Largo_(film)";3334.0;;101.0;6.06027243E8;6060.0;;1397142.0;8125000.0
"And God Created Woman (1988)";"http://dbpedia.org/resource/And_God_Created_Woman_(1988_film)";3343.0;1/1/88 12:00 AM;100.0;6.02790119E8;6000.0;;6973699.0;717376.0
"Impostors, The (1998)";"http://dbpedia.org/resource/The_Impostors";2295.0;10/2/98 12:00 AM;101.0;5.98592066E8;6060.0;;3539703.0;2198044.0
"Birdy (1984)";"http://dbpedia.org/resource/Birdy_(film)";3342.0;12/21/84 12:00 AM;120.0;6.06774708E8;7200.0;7500000.0;1338461.0;1455045.0
"Born Yesterday (1950)";"http://dbpedia.org/resource/Born_Yesterday_(1950_film)";3341.0;12/26/50 12:00 AM;103.0;6.04337708E8;6180.0;;2066293.0;4150000.0
"What Dreams May Come (1998)";"http://dbpedia.org/resource/What_Dreams_May_Come_(film)";2297.0;;113.0;6.05770564E8;6780.0;8.5E7;689611.0;8.3E7
"Bride of the Monster (1956)";"http://dbpedia.org/resource/Bride_of_the_Monster";3340.0;;68.0;6.01680057E8;4080.0;;5035.0;
"Strangeland (1998)";"http://dbpedia.org/resource/Strangeland_(film)";2298.0;;87.0;5.90370283E8;5220.0;1100000.0;4055736.0;713239.0
"Edward Scissorhands (1990)";"http://dbpedia.org/resource/Edward_Scissorhands";2291.0;12/7/90 12:00 AM;105.0;6.06403234E8;6300.0;2.0E7;302970.0;8.6024005E7
"Overnight Delivery (1996)";"http://dbpedia.org/resource/Overnight_Delivery";2292.0;4/7/98 12:00 AM;87.0;6.03114023E8;5220.0;1.0E7;2723452.0;
"Shadrach (1998)";"http://dbpedia.org/resource/Shadrach_(film)";2293.0;;89.0;5.58561943E8;5340.0;;1.1862595E7;
"Antz (1998)";"http://dbpedia.org/resource/Antz";2294.0;;84.0;6.04930803E8;5040.0;1.05E8;206845.0;1.71757863E8
"Stardust Memories (1980)";"http://dbpedia.org/resource/Stardust_Memories";2290.0;;88.0;6.06587245E8;5280.0;1.0E7;424391.0;1.0389003E7
"Night Visitor, The (1970)";"http://dbpedia.org/resource/The_Night_Visitor";3348.0;;106.0;5.75525326E8;6360.0;;2.3449348E7;
"Suicide Kings (1997)";"http://dbpedia.org/resource/Suicide_Kings";1799.0;9/6/97 12:00 AM;106.0;5.94313332E8;6360.0;5000000.0;1337353.0;1740156.0
"Perils of Pauline, The (1947)";"http://dbpedia.org/resource/The_Perils_of_Pauline_(1947_film)";3349.0;;96.0;5.8974597E8;5760.0;;1.567285E7;
"Everest (1998)";"http://dbpedia.org/resource/Everest_(film)";1797.0;;;5.91246885E8;;;4.1675206E7;
"Hush (1998)";"http://dbpedia.org/resource/Hush_(1998_film)";1798.0;3/6/98 12:00 AM;96.0;5.89234545E8;5760.0;;2216309.0;1.358369E7
"Blood Feast (1963)";"http://dbpedia.org/resource/Blood_Feast";3344.0;7/6/63 12:00 AM;67.0;5.92289063E8;4020.0;24500.0;678080.0;4000000.0
"Charlie, the Lonesome Cougar (1967)";"http://dbpedia.org/resource/Charlie,_the_Lonesome_Cougar";3345.0;10/18/67 12:00 AM;75.0;5.99610263E8;4500.0;;2.881736E7;
"Color Me Blood Red (1965)";"http://dbpedia.org/resource/Color_Me_Blood_Red";3346.0;;79.0;5.8734744E8;4740.0;50000.0;7244315.0;
"Never Cry Wolf (1983)";"http://dbpedia.org/resource/Never_Cry_Wolf_(film)";3347.0;;105.0;6.03476442E8;6300.0;1.1E7;5123642.0;2.7668764E7
"Love and Death on Long Island (1997)";"http://dbpedia.org/resource/Love_and_Death_on_Long_Island";1794.0;;103.0;5.66116409E8;6180.0;;303847.0;2581012.0
"Battle of the Sexes, The (1959)";"http://dbpedia.org/resource/The_Battle_of_the_Sexes_(1928_film)";2299.0;10/12/28 12:00 AM;88.0;5.86900939E8;5280.0;;2.0716485E7;
"Brown's Requiem (1998)";"http://dbpedia.org/resource/Brown's_Requiem_(film)";3352.0;;104.0;5.48406328E8;6240.0;;5891241.0;
"Two Thousand Maniacs! (1964)";"http://dbpedia.org/resource/Two_Thousand_Maniacs!";3351.0;3/20/64 12:00 AM;87.0;5.95364424E8;5220.0;65000.0;3327237.0;
"Mission to Mars (2000)";"http://dbpedia.org/resource/Mission_to_Mars";3354.0;;113.0;6.04301216E8;6780.0;1.0E8;1403888.0;1.10983407E8
"Judy Berlin (1999)";"http://dbpedia.org/resource/Judy_Berlin";3319.0;;93.0;5.96342555E8;5580.0;;2.4640712E7;
"Little City (1998)";"http://dbpedia.org/resource/Little_City";1782.0;;90.0;6.06446151E8;5400.0;;6631279.0;
"Mortal Thoughts (1991)";"http://dbpedia.org/resource/Mortal_Thoughts";2267.0;4/19/91 12:00 AM;102.0;5.48716866E8;6120.0;8000000.0;8575331.0;1.9018321E7
"Big Trees, The (1952)";"http://dbpedia.org/resource/The_Big_Trees";3314.0;;89.0;6.04637675E8;5340.0;;4926447.0;
"Palmetto (1998)";"http://dbpedia.org/resource/Palmetto_(film)";1783.0;2/20/98 12:00 AM;114.0;5.95640762E8;6840.0;;2889278.0;5878911.0
"Butcher's Wife, The (1991)";"http://dbpedia.org/resource/The_Butcher's_Wife";2266.0;;107.0;5.63645604E8;6420.0;;2091940.0;9689816.0
"Man from Laramie, The (1955)";"http://dbpedia.org/resource/The_Man_from_Laramie";3311.0;8/31/55 12:00 AM;104.0;5.94573597E8;6240.0;;2144775.0;3300000.0
"As Good As It Gets (1997)";"http://dbpedia.org/resource/As_Good_as_It_Gets";1784.0;;139.0;6.04866107E8;8340.0;5.0E7;142447.0;3.14178011E8
"Indecent Proposal (1993)";"http://dbpedia.org/resource/Indecent_Proposal";2269.0;4/7/93 12:00 AM;118.0;6.01659984E8;7080.0;3.8E7;864183.0;2.66614059E8
"King of New York (1990)";"http://dbpedia.org/resource/King_of_New_York";1785.0;9/22/90 12:00 AM;106.0;6.02831331E8;6360.0;;833502.0;2554476.0
"Wonder Boys (2000)";"http://dbpedia.org/resource/Wonder_Boys_(film)";3317.0;;111.0;6.06732771E8;6660.0;5.5E7;1.0206962E7;3.3426588E7
"Deterrence (1998)";"http://dbpedia.org/resource/Deterrence_(film)";3318.0;;104.0;6.03753436E8;6240.0;800000.0;1529108.0;145071.0
"Happy Go Lovely (1951)";"http://dbpedia.org/resource/Happy_Go_Lovely";3315.0;3/6/51 12:00 AM;97.0;5.98424816E8;5820.0;;1.0931425E7;
"Men With Guns (1997)";"http://dbpedia.org/resource/Men_with_Guns";1788.0;;127.0;5.98995677E8;7620.0;2300000.0;9105282.0;910773.0
"Reindeer Games (2000)";"http://dbpedia.org/resource/Reindeer_Games";3316.0;;;6.05659501E8;;4.2E7;3136443.0;3.216897E7
"Permanent Midnight (1998)";"http://dbpedia.org/resource/Permanent_Midnight";2271.0;9/16/98 12:00 AM;88.0;6.05707578E8;5280.0;;1380618.0;1166199.0
"One True Thing (1998)";"http://dbpedia.org/resource/One_True_Thing";2272.0;;127.0;5.98465673E8;7620.0;3.0E7;1223498.0;2.661684E7
"Waiting Game, The (2000)";"http://dbpedia.org/resource/The_Waiting_Game_(film)";3321.0;;;5.5792212E8;;;1.0528457E7;
"Rush Hour (1998)";"http://dbpedia.org/resource/Rush_Hour_(1998_film)";2273.0;;98.0;6.05416838E8;5880.0;3.3E7;489800.0;2.44386864E8
"Lilian's Story (1995)";"http://dbpedia.org/resource/Lilian's_Story";2274.0;;;5.92558358E8;;;3.762437E7;524526.0
"Six-String Samurai (1998)";"http://dbpedia.org/resource/Six-String_Samurai";2275.0;;91.0;5.9424759E8;5460.0;2000000.0;1273747.0;
"Twilight (1998)";"http://dbpedia.org/resource/Twilight_(1998_film)";1791.0;3/6/98 12:00 AM;94.0;6.05550938E8;5640.0;3.7E7;823939.0;1.5055091E7
"Sphere (1998)";"http://dbpedia.org/resource/Sphere_(film)";1779.0;2/13/98 12:00 AM;129.0;6.03975274E8;7740.0;8.0E7;1307241.0;3.7020277E7
"3 Strikes (2000)";"http://dbpedia.org/resource/3_Strikes_(film)";3322.0;3/1/00 12:00 AM;82.0;5.95314691E8;4920.0;3400000.0;5877719.0;9832166.0
"Tokyo Fist (1995)";"http://dbpedia.org/resource/Tokyo_Fist";1773.0;;87.0;5.94991368E8;5220.0;;3676302.0;
"Chain of Fools (2000)";"http://dbpedia.org/resource/Chain_of_Fools_(film)";3323.0;9/22/00 12:00 AM;96.0;5.43664027E8;5760.0;2.0E7;2177168.0;
"Urban Legend (1998)";"http://dbpedia.org/resource/Urban_Legend_(film)";2279.0;9/25/98 12:00 AM;100.0;5.96944798E8;6000.0;1.4E7;935847.0;7.2527595E7
"Drowning Mona (2000)";"http://dbpedia.org/resource/Drowning_Mona";3324.0;;95.0;5.5772347E8;5700.0;3.7E7;1939585.0;1.5906764E7
"Night Flier (1997)";"http://dbpedia.org/resource/The_Night_Flier_(film)";1771.0;2/6/98 12:00 AM;93.0;5.8347854E8;5580.0;;8270869.0;125397.0
"Ronin (1998)";"http://dbpedia.org/resource/Ronin_(film)";2278.0;;121.0;6.02957564E8;7260.0;5.5E7;163438.0;7.0692101E7
"Next Best Thing, The (2000)";"http://dbpedia.org/resource/The_Next_Best_Thing";3325.0;;108.0;5.86746362E8;6480.0;2.5E7;3737862.0;2.4362772E7
"Blues Brothers 2000 (1998)";"http://dbpedia.org/resource/Blues_Brothers_2000";1772.0;;123.0;6.03572152E8;7380.0;2.8E7;238906.0;1.4051384E7
"What Planet Are You From? (2000)";"http://dbpedia.org/resource/What_Planet_Are_You_From%3F";3326.0;;105.0;5.94327014E8;6300.0;6.0E7;5336170.0;1.4145677E7
"Wedding Singer, The (1998)";"http://dbpedia.org/resource/The_Wedding_Singer";1777.0;;95.0;6.05933947E8;5700.0;2.6E7;454655.0;1.23306987E8
"Beyond the Mat (2000)";"http://dbpedia.org/resource/Beyond_the_Mat";3327.0;10/22/99 12:00 AM;102.0;6.04991526E8;6120.0;500000.0;2209301.0;2053648.0
"Ghost Dog: The Way of the Samurai (1999)";"http://dbpedia.org/resource/Ghost_Dog:_The_Way_of_the_Samurai";3328.0;;116.0;6.05260961E8;6960.0;2000000.0;471352.0;9380473.0
"Year My Voice Broke, The (1987)";"http://dbpedia.org/resource/The_Year_My_Voice_Broke";3329.0;;103.0;6.06592058E8;6180.0;;2376432.0;1513000.0
"Ride (1998)";"http://dbpedia.org/resource/Ride_(1998_film)";1776.0;3/27/98 12:00 AM;90.0;5.88269618E8;5400.0;;1.8581691E7;5485295.0
"Pecker (1998)";"http://dbpedia.org/resource/Pecker_(film)";2282.0;;86.0;5.78729658E8;5160.0;6000000.0;1799076.0;2281761.0
"Sheltering Sky, The (1990)";"http://dbpedia.org/resource/The_Sheltering_Sky_(film)";2283.0;12/14/90 12:00 AM;138.0;5.66670438E8;8280.0;2.5E7;1.9775805E7;2075084.0
